Ignore,Ignore,Ignore,Ignore,Source,Target,Value,Color,,Label,Number,X,Y,Left side of sankey below this line,
Green Investment Bank,Global Climate Finance,2,Sharing the Power,74,47,230000,#ffb3b3,,Green Investment Bank,47,0.5,0.89,,Green Investment Bank
Climate Aligned Finance,Global Climate Finance,7,Climate-aligned sectors,74,48,1305376.36,#ffb3b3,,Climate Aligned Finance,48,0.5,0.91,,Climate Aligned Finance
Results Based Climate Finance,Global Climate Finance,4,Legacy,74,49,0,#ffb3b3,,Results Based Climate Finance,49,0.5,0.93,,Results Based Climate Finance
Cities (General),Carbon-Free Cities and Regions,,Urban transformation,75,50,664835.48,#d2b3ff,,Cities (General),50,0.5,0.95,,Admin (CFCS)
America's Pledge,Carbon-Free Cities and Regions,4,US Policy,75,51,667642.59,#d2b3ff,,America's Pledge,51,,,,America's Pledge
Beyond Carbon,Carbon-Free Cities and Regions,4,US Policy,75,52,2658122.22,#d2b3ff,,Beyond Carbon,52,,,,Beyond Carbon
Cities Renewable Accelerator,Carbon-Free Cities and Regions,10,Urban transformation,75,53,1747856.56,#d2b3ff,,Cities Renewable Accelerator,53,,,,Cities Renewable Accelerator
ES (General),Emerging Solutions,,Emerging Solutions [PC],76,54,674856.36,#deff63,,ES (General),54,,,,Admin (ES)
Pathways for Global Energy Transformation,Emerging Solutions,6,Emerging Solutions [PC],76,55,0,#deff63,,Pathways for Global Energy Transformation,55,,,,Pathways for Global Energy Transformation
Global Energy Solutions Lab,Emerging Solutions,5,Emerging Solutions [PC],76,56,0,#deff63,,Global Energy Solutions Lab,56,,,,Global Energy Solutions Lab
Integrative Design,Emerging Solutions,1,Legacy,76,57,0,#deff63,,Integrative Design,57,,,,Integrative Design
COM,Communications,,Communications [PC],77,58,0,#ff8833,,COM,58,,,,COM
DEV,Development,,Development [PC],78,59,0,#d9d9d9,,DEV,59,,,,DEV
CEO Admin,Operations,,Operations [PC],79,60,0,#32a852,,CEO Admin,60,,,,CEO Admin
Finance,Operations,,Operations [PC],79,61,0,#32a852,,Finance,61,,,,Finance
HR,Operations,,Operations [PC],79,62,0,#32a852,,HR,62,,,Right half of sankey below this line,HR
IT,Operations,,Operations [PC],79,63,0,#32a852,,IT,63,,,,IT
PMO,Operations,,Operations [PC],79,64,0,#32a852,,PMO,64,,,,PMO
INY (General),Industry,,Making emissions visible,0,82,50000,#edbd93,,Industry,65,0.1,0.05,,Admin (INY)
Aviation,Industry,2,Legacy,1,87,0,#edbd93,,Buildings,66,0.1,0.14,,Aviation
Freight and transport,Industry,2,Mobility decarbonization,2,81,482181.31,#edbd93,,Building Electrification,67,0.1,0.23,,Freight and transport
Methane,Industry,8,Making emissions visible,3,82,2765406.38,#edbd93,,Electricity,68,0.1,0.32,,Methane
Mining,Industry,7,Legacy,4,87,159448.85,#edbd93,,China,69,0.1,0.41,,Mining
COMET,Industry,2,Making emissions visible,5,82,0,#edbd93,,Mobility,70,0.1,0.5,,COMET
Hydrogen,Industry,Not listed,Breakthrough technology,6,83,0,#edbd93,,India,71,0.1,0.59,,Hydrogen
Green steel,Industry,Not listed,Climate-aligned sectors,7,80,0,#edbd93,,RMI Ventures,72,0.1,0.68,,Green steel
Buildings (General),Buildings,3,Building decarbonization,8,84,2396473.11,#ebc334,,ECE,73,0.1,0.77,,Admin (BLD)
Pathways to Zero,Buildings,6,Building decarbonization,9,84,114604.13,#ebc334,,Global Climate Finance,74,0.1,0.86,,Pathways to Zero
Residential Energy +,Buildings,3,Building decarbonization,10,84,0,#ebc334,,Carbon-Free Cities and Regions,75,0.1,0.95,,Residential Energy +
Portfolio Energy Optimization,Buildings,5,Building decarbonization,11,84,0,#ebc334,,Emerging Solutions,76,0.9,0.05,,Portfolio Energy Optimization
Global Cooling Prize,Buildings,4,Breakthrough technology,12,83,1811949.55,#ebc334,,Communications,77,0.9,0.15,,Global Cooling Prize
Realize,Buildings,4,Building decarbonization,13,84,0,#ebc334,,Development,78,0.9,0.25,,Realize
NEMO,Building Electrification,6,Building decarbonization,15,84,4812526.31,#d6eb34,,Operations,79,0.9,0.35,,Admin (BEL)
NEMO,Building Electrification,1,Building decarbonization,15,84,44770.89,#d6eb34,,Climate-aligned sectors,80,0.9,0.45,,NEMO
ELP (General),Electricity,2,Power sector decarbonization,16,85,6247640.8,#77eb34,,Mobility decarbonization,81,0.9,0.55,,Admin (ELP)
Coal End Game,Electricity,6.3,Power sector decarbonization,17,85,132627.61,#77eb34,,Making emissions visible,82,0.9,0.65,,Coal End Game
Distributed grid infrastructure (CEP),Electricity,5,Power sector decarbonization,18,85,125000,#77eb34,,Breakthrough technology,83,0.9,0.75,,Distributed grid infrastructure (CEP)
Utility Models,Electricity,,Power sector decarbonization,19,85,0,#77eb34,,Building decarbonization,84,0.9,0.85,,Utility Models
eLab,Electricity,4,Power sector decarbonization,20,85,170175.68,#77eb34,,Power sector decarbonization,85,0.9,0.95,,eLab
Shine,Electricity,2,Legacy,21,87,0,#77eb34,,Urban transformation,86,,,,Shine
Business models and regulatory design,Electricity,8.7,Power sector decarbonization,22,85,372236.98,#77eb34,,Legacy,87,,,,Business models and regulatory design
Zero carbon cities implementation,China,1,China Strategy,24,95,1311904.93,#34ebc3,,Sharing the Power,88,,,,Admin (CHN)
Zero carbon cities implementation,China,7,China Strategy,24,95,385287.94,#34ebc3,,Implementation unit,89,,,,Zero carbon cities implementation
Power market reform,China,6,China Strategy,25,95,780000,#34ebc3,,Emerging Solutions [PC],90,,,,Power market reform
Harder to abate,China,7,China Strategy,26,95,2771990.51,#34ebc3,,US Policy,91,,,,Harder to abate
US Mobility (General),Mobility,,Mobility decarbonization,27,81,345754.8,#34c9eb,,Communications [PC],92,,,,Admin (Mobility)
EV grid,Mobility,2,Mobility decarbonization,28,81,0,#34c9eb,,Development [PC],93,,,,EV grid
Mobility Innovation Lab,Mobility,3,Mobility decarbonization,29,81,0,#34c9eb,,Operations [PC],94,,,,Mobility Innovation Lab
eBuses/fleets,Mobility,4,Mobility decarbonization,30,81,69183.05,#34c9eb,,China Strategy,95,,,,eBuses/fleets
Mobility data,Mobility,0,Mobility decarbonization,31,81,0,#34c9eb,,,,,,,Mobility data
India Mobility,India,,Mobility decarbonization,32,81,5164027.99,#a6cff7,,,,,,,Admin (India)
Urban Mobility Lab,India,7.5,Mobility decarbonization,33,81,0,#a6cff7,,,,,,,Urban Mobility Lab
National Mobility Platform,India,5,Mobility decarbonization,34,81,0,#a6cff7,,,,,,,National Mobility Platform
DISCOM transformation platform,India,3.5,Power sector decarbonization,35,85,0,#a6cff7,,,,,,,DISCOM transformation platform
Third Derivative (Energy collaborative),RMI Ventures,2.3,Breakthrough technology,36,83,2145699.06,#eff7a6,,,,,,,Third Derivative (Energy collaborative)
"Market affiliates (EWF, WattTime etc)",RMI Ventures,0,Making emissions visible,37,82,0,#eff7a6,,,,,,,"Market affiliates (EWF, WattTime etc)"
SEED,ECE,,Sharing the Power,38,88,3388855.37,#ffb3e6,,,,,,,Admin (SEED)
Minigrids,ECE,2,Implementation unit,39,89,0,#ffb3e6,,,,,,,Minigrids
Productive Use,ECE,6,Implementation unit,40,89,0,#ffb3e6,,,,,,,Productive Use
Islands,ECE,11,Implementation unit,41,89,4523466.47,#ffb3e6,,,,,,,Islands
SE Asia,ECE,2,Implementation unit,42,89,0,#ffb3e6,,,,,,,SE Asia
Power sector DERs,ECE,5,Implementation unit,43,89,0,#ffb3e6,,,,,,,Power sector DERs
Climate Aligned Finance,Global Climate Finance,,Climate-aligned sectors,48,80,1473079.15,#ffb3b3,,,,,,,Admin (GCF)
Climate Finance Access Network,Global Climate Finance,2,Sharing the Power,45,88,0,#ffb3b3,,,,,,,Climate Finance Access Network
Coal Financing,Global Climate Finance,0.5,Power sector decarbonization,46,85,0,#ffb3b3,,,,,,,Coal Financing
Green Investment Bank,Global Climate Finance,2,Sharing the Power,47,88,230000,#ffb3b3,,,,,,,Green Investment Bank
Climate Aligned Finance,Global Climate Finance,7,Climate-aligned sectors,48,80,1305376.36,#ffb3b3,,,,,,,Climate Aligned Finance
Results Based Climate Finance,Global Climate Finance,4,Legacy,49,87,0,#ffb3b3,,,,,,,Results Based Climate Finance
Cities (General),Carbon-Free Cities and Regions,,Urban transformation,50,86,664835.48,#d2b3ff,,,,,,,Admin (CFCS)
America's Pledge,Carbon-Free Cities and Regions,4,US Policy,51,91,667642.59,#d2b3ff,,,,,,,America's Pledge
Beyond Carbon,Carbon-Free Cities and Regions,4,US Policy,52,91,2658122.22,#d2b3ff,,,,,,,Beyond Carbon
Cities Renewable Accelerator,Carbon-Free Cities and Regions,10,Urban transformation,53,86,1747856.56,#d2b3ff,,,,,,,Cities Renewable Accelerator
ES (General),Emerging Solutions,,Emerging Solutions [PC],54,90,674856.36,#deff63,,,,,,,Admin (ES)
Pathways for Global Energy Transformation,Emerging Solutions,6,Emerging Solutions [PC],55,90,0,#deff63,,,,,,,Pathways for Global Energy Transformation
Global Energy Solutions Lab,Emerging Solutions,5,Emerging Solutions [PC],56,90,0,#deff63,,,,,,,Global Energy Solutions Lab
Integrative Design,Emerging Solutions,1,Legacy,57,87,0,#deff63,,,,,,,Integrative Design
COM,Communications,,Communications [PC],58,92,0,#ff8833,,,,,,,COM
DEV,Development,,Development [PC],59,93,0,#d9d9d9,,,,,,,DEV
CEO Admin,Operations,,Operations [PC],60,94,0,#32a852,,,,,,,CEO Admin
Finance,Operations,,Operations [PC],61,94,0,#32a852,,,,,,,Finance
HR,Operations,,Operations [PC],62,94,0,#32a852,,,,,,,HR
IT,Operations,,Operations [PC],63,94,0,#32a852,,,,,,,IT
PMO,Operations,,Operations [PC],64,94,0,#32a852,,,,,,,PMO
